"Start Time","End Time","Text","Video Track","Layer ID"
"00;00;00;00","00;00;00;15","I built","8","1"
"00;00;00;15","00;00;01;13","Tomodachi Life","8","1"
"00;00;01;13","00;00;02;02","in Minecraft!","8","1"
"00;00;02;21","00;00;04;14","When clicking on these types of videos","8","1"
"00;00;04;14","00;00;05;26","you’d probably expect...","8","1"
"00;00;05;26","00;00;06;13","ULTIMATE","8","1"
"00;00;06;13","00;00;07;00","HARDCORE","8","1"
"00;00;07;00","00;00;08;19","MILLIONS OF BLOCKS","8","1"
"00;00;08;19","00;00;09;28","...resource gathering","8","1"
"00;00;09;28","00;00;10;13","AND","8","1"
"00;00;10;13","00;00;10;28","DEATH","8","1"
"00;00;11;03","00;00;11;23","well...","8","1"
"00;00;11;23","00;00;12;16","i did none of that.","8","1"
"00;00;12;26","00;00;14;16","i’m the biggest looser when it comes to","8","1"
"00;00;14;16","00;00;16;04","this game’s survival mode","8","1"
"00;00;16;04","00;00;18;13","i always end up loosing my progress and friends  :c","8","1"
"00;00;18;13","00;00;20;03","okay we’re good to go!","8","1"
"00;00;21;18","00;00;22;04","uh...","8","1"
"00;00;23;07","00;00;23;17","NO","8","1"
"00;00;23;17","00;00;23;27","NO","8","1"
"00;00;23;27","00;00;24;07","NO","8","1"
"00;00;24;07","00;00;24;17","NO","8","1"
"00;00;24;17","00;00;24;27","NO","8","1"
"00;00;25;17","00;00;26;11","i’m dying!","8","1"
"00;00;26;11","00;00;26;21","NO","8","1"
"00;00;26;26","00;00;27;06","[beep]","8","1"
"00;00;27;06","00;00;27;26","[beep]","8","1"
"00;00;27;26","00;00;28;06","[beep]","8","1"
"00;00;28;06","00;00;28;16","[beep]","8","1"
"00;00;28;27","00;00;29;07","NO","8","1"
"00;00;29;07","00;00;29;17","no","8","1"
"00;00;29;23","00;00;30;03","[beep]","8","1"
"00;00;31;19","00;00;35;21","I’m the odd type of person that finds Minecraft’s fun in creative mode!","8","1"
"00;00;35;21","00;00;36;19","and for years","8","1"
"00;00;36;19","00;00;41;26","i’ve carried on the back of my head the idea to build my own Tomodachi Life Island. . .","8","1"
"00;00;41;26","00;00;42;13","So!","8","1"
"00;00;42;13","00;00;44;13","now that I'm back in my creative spirit,","8","1"
"00;00;44;13","00;00;46;13","not bed rotting away my life,","8","1"
"00;00;46;13","00;00;49;00","and found some cool tools to play with,","8","1"
"00;00;49;00","00;00;52;00","it’s the perfect recipe for what you’re about to see!","8","1"
"00;00;52;11","00;00;53;13","Hope you like it!","8","1"
"00;00;53;13","00;00;56;20","I decided to lay out the island and its buildings first,","8","1"
"00;00;56;20","00;01;01;09","and as I built I started getting more ideas of how to adapt tomodachi life to minecraft,,","8","1"
"00;01;01;09","00;01;04;00","however there was a teeny issue . . .","8","1"
"00;01;04;00","00;01;06;00","some things are like BIG","8","1"
"00;01;04;14","00;01;08;19","sorry about my voicei was sick that day :c","6","1"
"00;01;06;00","00;01;07;16","and like actually like...","8","1"
"00;01;07;16","00;01;09;11","like ACTUAL BUILDINGS","8","1"
"00;01;10;20","00;01;12;23","“oh yeah! i can recreate this in minecraft”","8","1"
"00;01;12;23","00;01;14;11","...and some things are more like","8","1"
"00;01;14;11","00;01;15;19","little icons","8","1"
"00;01;16;01","00;01;17;09","like Mii Homes...","8","1"
"00;01;17;28","00;01;21;11","they’re like little tiny small","8","1"
"00;01;22;11","00;01;23;01","...things","8","1"
"00;01;23;01","00;01;26;00","compared to the main building","8","1"
"00;01;26;00","00;01;28;17","I continued building and i had fun,","8","1"
"00;01;28;17","00;01;31;04","i even found out some new stuff along the way","8","1"
"00;01;31;13","00;01;32;28","* shock *","8","1"
"00;01;31;29","00;01;32;28","<---- notices stone behind ","5","1"
"00;01;33;28","00;01;36;05","that’s what THESE are...","8","1"
"00;01;36;05","00;01;37;13","stairs!","8","1"
"00;01;37;13","00;01;40;15","for the miis to go down!","8","1"
"00;01;42;04","00;01;44;10","how did i never notice that...","8","1"
"00;01;44;10","00;01;50;07","And with that, I had finished the foundation, I decided to add the texturing and detailing on my own,","8","1"
"00;01;50;07","00;01;53;05","and I think it came out pretty neat  c:","8","1"
"00;01;53;05","00;01;58;24","I got to try some new things, and it really felt like I was painting a soon to be masterpiece. . .","8","1"
"00;01;59;17","00;02;04;15","Once that was done, I decided to stream again, and i had some surprises","8","1"
"00;02;04;26","00;02;06;27","this is my apartment building...","8","1"
"00;02;07;29","00;02;10;02","there’s much easier ways to access, but-","8","1"
"00;02;10;16","00;02;11;07","*gasp*","8","1"
"00;02;11;07","00;02;13;05","oh! here’s one of the surprises...","8","1"
"00;02;11;23","00;02;13;23","(the dog i lost in my survival world)also known as “borf”","5","1"
"00;02;13;23","00;02;15;12","credit to: @JokaRen_","6","1"
"00;02;14;22","00;02;15;12","Dinky!","8","1"
"00;02;15;12","00;02;16;17","it’s over here...","8","1"
"00;02;17;28","00;02;19;03","what??","8","1"
"00;02;19;22","00;02;20;27","Tomodachi Life?","8","1"
"00;02;20;27","00;02;22;15","in Minecraft? ","8","1"
"00;02;29;02","00;02;31;15","we have the tomodachi life music! ","8","1"
"00;02;31;15","00;02;33;05","isn’t that cool?","8","1"
"00;02;31;15","00;02;33;05","will be included in the world download :>","2","1"
"00;02;33;05","00;02;35;06","I was experimenting with uhh...","8","1"
"00;02;36;15","00;02;38;13","with armour stands!","8","1"
"00;02;38;22","00;02;43;01","uh so... over here i have the pau mii","8","1"
"00;02;43;01","00;02;45;19","and ...mii gunner","8","1"
"00;02;46;18","00;02;47;06","wow!","8","1"
"00;02;47;13","00;02;52;27","it would be cool if i had a roller coaster type thing...","8","1"
"00;02;53;11","00;02;56;10","that got you from here to down there","8","1"
"00;02;56;10","00;03;02;18","it’d be a cool and smart idea to have all the islandconnected","8","1"
"00;03;03;12","00;03;07;02","whenever you spawn in you’ll be able to explore","8","1"
"00;03;07;02","00;03;09;15","and everything will be pretty accesible","8","1"
"00;03;09;15","00;03;12;06","i have an elevator up, but like...","8","1"
"00;03;09;15","00;03;12;28","Building the Observation Tower","2","1"
"00;03;12;06","00;03;15;19","i guess the way to get down would be here","8","1"
"00;03;15;19","00;03;17;04","tap the button here,","8","1"
"00;03;17;04","00;03;19;07","...i think that’s better for everyone","8","1"
"00;03;22;07","00;03;22;29","*gasp*","8","1"
"00;03;22;29","00;03;24;12","a cloud!","8","1"
"00;03;24;22","00;03;25;11","*gasp*","8","1"
"00;03;25;11","00;03;27;01","it’s an AIRPLANE!","8","1"
"00;03;27;01","00;03;30;04","omigosh... i’ve never seen that before!","8","1"
"00;03;30;16","00;03;35;19","(getting distracted)","2","1"
"00;03;30;17","00;03;33;22","who often gets mistaken for...","8","1"
"00;03;33;29","00;03;35;19","Nikki Swapdoodle","8","1"
